CLASS	ColumnHeader	EnrichmentScore	p.Val	FDR	PassCutoff_p0.05_fdr0.1
ENDOTHELIAL_CELL	clust8	0.307917628262159	0.239130424562496	0.643068507008039	0
MAST_CELLS	clust8	0.00510407882469466	0.484214845870471	1	0
FIBROBLASTS	clust8	-0.521329498832773	0.0899375898378828	0.459654115817691	0
CANCER_CELLS	clust8	-0.420707743783226	0.137337263208144	0.527840842333446	0
B_CELLS	clust9	0.0301362567129385	0.439807410516207	1	0
MACROPHAGES	clust9	0.952423220308894	0.0518249191688669	0.36412932261072	0
DENDRITIC_CELLS	clust9	0.597824436231799	0.172718821094107	0.448579162763727	0
T_CELLS	clust9	-0.325492632699835	0.201189603191892	0.487930676892755	0
ENDOTHELIAL_CELL	clust9	-0.448961477010112	0.14107072713853	0.410315137688421	0
MAST_CELLS	clust9	0.225910967111952	0.410544496403259	0.909111340720591	0
FIBROBLASTS	clust9	0.330405089149718	0.334438981797638	0.720536058034193	0
CANCER_CELLS	clust9	-0.492948415495733	0.122950858359934	0.391741991138293	0
B_CELLS	clust10	-0.180284940748146	0.447061545052325	0.918408530642218	0
MACROPHAGES	clust10	0.126131723770825	0.217912505561825	0.580185460181235	0
DENDRITIC_CELLS	clust10	0.391638187386351	0.0582302881538944	0.37786150371784	0
T_CELLS	clust10	-0.493609089294849	0.143210159574765	0.508571571900007	0
ENDOTHELIAL_CELL	clust10	-0.263536303923003	0.351613236267927	0.721235216542604	0
MAST_CELLS	clust10	0.00408326305974854	0.338754400508937	0.702964291727951	0
FIBROBLASTS	clust10	-0.649109565563581	0.0631312373334551	0.386306938796365	0
CANCER_CELLS	clust10	-0.0200056287976417	0.365370262966959	0.742515107471125	0
B_CELLS	clust11	-0.108206471084292	0.496617085140467	1	0
MACROPHAGES	clust11	-0.793449316527139	0.142777391043775	0.440839558089543	0
DENDRITIC_CELLS	clust11	-0.928408572612939	0.100286138621296	0.371459366400051	0
T_CELLS	clust11	-0.606248890466482	0.219505923650476	0.590442613482929	0
ENDOTHELIAL_CELL	clust11	0.81572874134564	0.0721683848104902	0.339309088514786	0
MAST_CELLS	clust11	0.0183746837689941	0.41788076140824	0.980869607772783	0
